time,open,high,low,close,volume
2026-08-13T03:45:00.000Z,4406.290,4407.660,4405.140,4405.570,1173
2026-08-13T03:50:00.000Z,4405.540,4406.050,4402.510,4403.510,984
2026-08-13T03:55:00.000Z,4403.420,4403.450,4398.620,4400.290,1692
2026-08-13T04:00:00.000Z,4400.190,4400.430,4394.810,4396.120,2047
2026-08-13T04:05:00.000Z,4395.920,4397.440,4395.220,4396.010,1554
2026-08-13T04:10:00.000Z,4396.040,4396.110,4391.760,4394.540,1658
2026-08-13T04:15:00.000Z,4394.570,4395.900,4393.470,4394.760,1388
2026-08-13T04:20:00.000Z,4394.760,4397.850,4392.610,4397.650,1501
2026-08-13T04:25:00.000Z,4397.590,4399.200,4397.010,4398.280,1187
2026-08-13T04:30:00.000Z,4398.270,4399.590,4397.600,4398.790,1086
2026-08-13T04:35:00.000Z,4398.800,4399.410,4397.350,4397.630,1017
2026-08-13T04:40:00.000Z,4397.640,4399.300,4395.170,4395.840,1085
2026-08-13T04:45:00.000Z,4395.880,4398.840,4395.760,4395.770,1917
2026-08-13T04:50:00.000Z,4395.750,4397.690,4395.360,4396.640,1172
2026-08-13T04:55:00.000Z,4396.710,4398.540,4396.240,4397.810,1079
2026-08-13T05:00:00.000Z,4397.790,4397.840,4393.200,4394.820,2046
2026-08-13T05:05:00.000Z,4394.810,4397.800,4394.400,4396.780,1521
2026-08-13T05:10:00.000Z,4396.960,4404.750,4395.320,4404.530,2211
2026-08-13T05:15:00.000Z,4404.540,4405.670,4400.970,4401.700,1934
2026-08-13T05:20:00.000Z,4401.510,4403.740,4401.220,4403.010,1173
2026-08-13T05:25:00.000Z,4403.020,4407.320,4402.800,4406.470,1564
2026-08-13T05:30:00.000Z,4406.450,4407.090,4393.510,4397.570,3004
2026-08-13T05:35:00.000Z,4397.560,4399.990,4397.070,4399.880,2385
2026-08-13T05:40:00.000Z,4399.690,4400.930,4386.460,4387.730,2868
2026-08-13T05:45:00.000Z,4387.710,4389.290,4383.370,4387.220,2839
2026-08-13T05:50:00.000Z,4387.420,4389.350,4384.330,4384.630,2692
2026-08-13T05:55:00.000Z,4384.560,4386.200,4380.360,4383.000,2714
2026-08-13T06:00:00.000Z,4382.960,4385.600,4376.500,4378.180,2772
2026-08-13T06:05:00.000Z,4378.170,4379.850,4375.580,4379.310,2618
2026-08-13T06:10:00.000Z,4379.320,4380.640,4375.110,4376.000,2287
2026-08-13T06:15:00.000Z,4375.930,4378.600,4375.250,4375.480,1791
2026-08-13T06:20:00.000Z,4375.330,4378.620,4374.280,4378.620,1895
2026-08-13T06:25:00.000Z,4378.610,4378.810,4374.540,4376.070,2167
2026-08-13T06:30:00.000Z,4376.110,4378.590,4370.080,4372.090,2617
2026-08-13T06:35:00.000Z,4372.090,4372.700,4369.020,4371.400,2278
2026-08-13T06:40:00.000Z,4371.760,4374.710,4371.540,4374.190,2150
2026-08-13T06:45:00.000Z,4374.200,4379.180,4374.090,4378.670,2150
2026-08-13T06:50:00.000Z,4378.560,4380.410,4378.380,4380.120,2050
2026-08-13T06:55:00.000Z,4380.200,4381.620,4379.600,4380.990,2018
2026-08-13T07:00:00.000Z,4380.770,4381.720,4378.380,4379.690,2304
2026-08-13T07:05:00.000Z,4379.940,4380.680,4377.480,4378.290,1778
2026-08-13T07:10:00.000Z,4378.280,4378.920,4375.090,4376.840,1830
2026-08-13T07:15:00.000Z,4376.850,4377.690,4373.980,4374.000,1720
2026-08-13T07:20:00.000Z,4374.050,4376.850,4373.830,4376.510,1733
2026-08-13T07:25:00.000Z,4376.700,4377.330,4374.680,4376.450,1896
2026-08-13T07:30:00.000Z,4376.310,4377.330,4372.170,4373.760,1976
2026-08-13T07:35:00.000Z,4373.570,4376.680,4372.590,4374.540,1574
2026-08-13T07:40:00.000Z,4374.550,4378.760,4373.930,4378.510,1586
2026-08-13T07:45:00.000Z,4378.620,4378.780,4371.230,4371.790,2019
2026-08-13T07:50:00.000Z,4371.880,4373.670,4370.000,4373.030,1718
2026-08-13T07:55:00.000Z,4372.960,4373.150,4369.330,4370.000,1764
2026-08-13T08:00:00.000Z,4369.580,4370.570,4365.900,4367.130,2360
2026-08-13T08:05:00.000Z,4367.160,4369.720,4365.860,4365.860,1884
2026-08-13T08:10:00.000Z,4365.850,4367.920,4364.060,4366.030,2318
2026-08-13T08:15:00.000Z,4366.020,4367.970,4365.370,4365.480,1771
2026-08-13T08:20:00.000Z,4365.490,4370.670,4365.040,4369.970,1936
2026-08-13T08:25:00.000Z,4370.010,4373.520,4369.670,4372.800,1980
2026-08-13T08:30:00.000Z,4372.690,4375.810,4371.920,4374.660,1767
2026-08-13T08:35:00.000Z,4374.680,4375.760,4373.530,4373.660,1546
2026-08-13T08:40:00.000Z,4373.580,4375.440,4373.450,4373.690,1162
2026-08-13T08:45:00.000Z,4373.650,4379.120,4373.530,4378.580,1609
2026-08-13T08:50:00.000Z,4378.530,4379.390,4375.080,4376.260,1378
2026-08-13T08:55:00.000Z,4376.260,4377.180,4375.100,4375.920,1012
2026-08-13T09:00:00.000Z,4375.910,4376.880,4373.550,4374.170,1485
2026-08-13T09:05:00.000Z,4374.230,4378.020,4372.530,4377.050,1676
2026-08-13T09:10:00.000Z,4376.680,4378.440,4376.510,4376.940,1468
2026-08-13T09:15:00.000Z,4376.880,4380.940,4376.270,4380.550,1568
2026-08-13T09:20:00.000Z,4380.390,4382.070,4378.160,4378.660,1386
2026-08-13T09:25:00.000Z,4378.630,4382.340,4378.630,4379.990,1684
2026-08-13T09:30:00.000Z,4379.940,4381.400,4379.770,4380.830,1339
2026-08-13T09:35:00.000Z,4380.820,4381.790,4380.280,4381.090,989
2026-08-13T09:40:00.000Z,4380.990,4381.690,4378.830,4380.100,1194
2026-08-13T09:45:00.000Z,4380.110,4380.780,4378.550,4379.600,852
2026-08-13T09:50:00.000Z,4379.660,4381.150,4378.970,4380.410,975
2026-08-13T09:55:00.000Z,4380.670,4384.860,4380.080,4384.590,1580
2026-08-13T10:00:00.000Z,4384.740,4385.330,4383.410,4384.520,1296
2026-08-13T10:05:00.000Z,4384.550,4385.340,4383.850,4384.170,1062
2026-08-13T10:10:00.000Z,4384.100,4384.760,4381.430,4381.560,1069
2026-08-13T10:15:00.000Z,4381.590,4385.910,4381.590,4385.200,1061
2026-08-13T10:20:00.000Z,4385.200,4386.530,4383.910,4384.760,1140
2026-08-13T10:25:00.000Z,4384.720,4387.650,4384.680,4387.170,1182
2026-08-13T10:30:00.000Z,4387.140,4387.880,4384.670,4385.360,1014
2026-08-13T10:35:00.000Z,4385.370,4389.120,4385.370,4388.690,856
2026-08-13T10:40:00.000Z,4388.580,4390.590,4388.010,4390.540,930
2026-08-13T10:45:00.000Z,4390.550,4390.570,4388.330,4390.310,960
2026-08-13T10:50:00.000Z,4390.440,4393.840,4390.230,4392.610,1220
2026-08-13T10:55:00.000Z,4392.620,4392.880,4391.130,4392.230,1111
2026-08-13T11:00:00.000Z,4392.240,4393.060,4388.570,4389.330,1566
2026-08-13T11:05:00.000Z,4389.320,4391.750,4389.100,4390.820,807
2026-08-13T11:10:00.000Z,4390.750,4394.390,4390.330,4394.270,1029
2026-08-13T11:15:00.000Z,4394.290,4396.620,4392.670,4393.410,1378
2026-08-13T11:20:00.000Z,4393.360,4394.340,4391.300,4392.600,1266
2026-08-13T11:25:00.000Z,4392.840,4393.200,4388.100,4388.100,1481
2026-08-13T11:30:00.000Z,4388.100,4389.360,4386.760,4388.540,1440
2026-08-13T11:35:00.000Z,4388.300,4389.850,4387.910,4389.160,1270
2026-08-13T11:40:00.000Z,4389.150,4389.150,4383.750,4384.100,1736
2026-08-13T11:45:00.000Z,4384.070,4385.870,4383.110,4384.680,1438
2026-08-13T11:50:00.000Z,4384.660,4385.330,4382.930,4384.520,1397
2026-08-13T11:55:00.000Z,4385.060,4388.060,4383.210,4387.670,1604
2026-08-13T12:00:00.000Z,4387.520,4388.090,4385.670,4387.100,1898
2026-08-13T12:05:00.000Z,4387.280,4391.680,4385.970,4390.900,1974
2026-08-13T12:10:00.000Z,4390.890,4390.890,4388.130,4389.120,2019
2026-08-13T12:15:00.000Z,4389.100,4389.600,4384.760,4386.510,1906
2026-08-13T12:20:00.000Z,4386.450,4389.910,4384.470,4385.700,2106
2026-08-13T12:25:00.000Z,4385.680,4392.870,4384.190,4391.040,1727
2026-08-13T12:30:00.000Z,4391.130,4401.200,4380.740,4391.940,3545
2026-08-13T12:35:00.000Z,4391.990,4392.570,4386.480,4390.250,2779
2026-08-13T12:40:00.000Z,4390.060,4394.160,4386.000,4392.180,2646
2026-08-13T12:45:00.000Z,4392.160,4397.350,4391.780,4394.860,2390
2026-08-13T12:50:00.000Z,4395.050,4396.890,4392.820,4394.810,2310
2026-08-13T12:55:00.000Z,4394.810,4401.970,4392.950,4401.880,2567
2026-08-13T13:00:00.000Z,4402.020,4402.020,4391.680,4394.040,3359
2026-08-13T13:05:00.000Z,4394.100,4398.060,4392.220,4393.450,3003
2026-08-13T13:10:00.000Z,4393.480,4394.780,4391.130,4393.940,2665
2026-08-13T13:15:00.000Z,4393.980,4395.340,4390.740,4392.350,2427
2026-08-13T13:20:00.000Z,4392.330,4395.230,4388.720,4388.810,2621
2026-08-13T13:25:00.000Z,4388.410,4390.070,4384.030,4385.210,2937
2026-08-13T13:30:00.000Z,4385.240,4389.850,4377.230,4378.920,3829
2026-08-13T13:35:00.000Z,4378.830,4382.750,4375.350,4382.650,3654
2026-08-13T13:40:00.000Z,4382.430,4384.080,4376.640,4379.560,3308
2026-08-13T13:45:00.000Z,4379.530,4382.900,4375.900,4377.600,3437
2026-08-13T13:50:00.000Z,4377.720,4378.440,4370.770,4376.140,3472
2026-08-13T13:55:00.000Z,4376.340,4378.360,4372.110,4372.820,3490
2026-08-13T14:00:00.000Z,4372.800,4378.850,4370.040,4373.220,3721
2026-08-13T14:05:00.000Z,4373.490,4378.880,4368.460,4369.430,3645
2026-08-13T14:10:00.000Z,4369.400,4371.950,4366.720,4370.800,3501
2026-08-13T14:15:00.000Z,4370.930,4378.190,4369.130,4375.680,3682
2026-08-13T14:20:00.000Z,4375.710,4377.960,4370.840,4374.420,3472
2026-08-13T14:25:00.000Z,4374.600,4376.260,4367.680,4367.740,3288
2026-08-13T14:30:00.000Z,4367.670,4376.450,4356.840,4374.940,3722
2026-08-13T14:35:00.000Z,4374.760,4378.090,4372.140,4377.700,3132
2026-08-13T14:40:00.000Z,4377.670,4381.810,4376.730,4381.260,2899
2026-08-13T14:45:00.000Z,4381.230,4386.780,4381.230,4384.900,2987
2026-08-13T14:50:00.000Z,4384.790,4387.000,4382.670,4384.110,2649
2026-08-13T14:55:00.000Z,4384.040,4386.930,4383.220,4383.730,2606
2026-08-13T15:00:00.000Z,4383.880,4385.700,4378.070,4378.180,2787
2026-08-13T15:05:00.000Z,4378.210,4378.300,4369.140,4371.110,2889
2026-08-13T15:10:00.000Z,4371.070,4371.990,4368.300,4369.690,3013
2026-08-13T15:15:00.000Z,4369.540,4370.480,4363.450,4367.950,2956
2026-08-13T15:20:00.000Z,4367.930,4372.240,4366.470,4371.400,2760
2026-08-13T15:25:00.000Z,4371.430,4373.960,4363.670,4365.220,3060
2026-08-13T15:30:00.000Z,4365.200,4365.300,4357.650,4360.560,3436
2026-08-13T15:35:00.000Z,4360.680,4371.480,4360.420,4369.120,2755
2026-08-13T15:40:00.000Z,4369.100,4371.580,4368.060,4368.390,2525
2026-08-13T15:45:00.000Z,4368.430,4370.880,4368.300,4369.290,2139
2026-08-13T15:50:00.000Z,4369.250,4370.120,4365.640,4365.980,2123
2026-08-13T15:55:00.000Z,4366.090,4368.150,4363.510,4365.180,2171
2026-08-13T16:00:00.000Z,4365.230,4367.450,4362.760,4363.440,2398
2026-08-13T16:05:00.000Z,4363.430,4363.580,4358.610,4358.680,2300
2026-08-13T16:10:00.000Z,4358.600,4360.220,4354.020,4355.200,2844
2026-08-13T16:15:00.000Z,4355.170,4355.590,4351.500,4351.560,3055
2026-08-13T16:20:00.000Z,4351.570,4358.250,4351.400,4358.200,2810
2026-08-13T16:25:00.000Z,4358.110,4362.880,4356.800,4362.610,2538
2026-08-13T16:30:00.000Z,4362.600,4366.590,4362.580,4366.590,2336
2026-08-13T16:35:00.000Z,4366.620,4366.750,4363.040,4363.880,2112
2026-08-13T16:40:00.000Z,4363.750,4367.160,4363.370,4365.740,1900
2026-08-13T16:45:00.000Z,4365.790,4367.580,4365.750,4366.110,1778
2026-08-13T16:50:00.000Z,4366.210,4366.730,4364.160,4365.420,1739
2026-08-13T16:55:00.000Z,4365.410,4368.400,4365.340,4367.110,1772
2026-08-13T17:00:00.000Z,4367.140,4369.340,4365.250,4366.310,1908
2026-08-13T17:05:00.000Z,4366.330,4372.600,4366.330,4372.010,2229
2026-08-13T17:10:00.000Z,4372.030,4373.390,4371.030,4371.430,1900
2026-08-13T17:15:00.000Z,4371.480,4371.850,4366.210,4367.590,2291
2026-08-13T17:20:00.000Z,4367.610,4369.330,4367.140,4368.050,2229
2026-08-13T17:25:00.000Z,4368.020,4369.120,4362.430,4363.140,2384
2026-08-13T17:30:00.000Z,4363.140,4364.410,4360.040,4361.180,2116
2026-08-13T17:35:00.000Z,4361.180,4362.420,4359.840,4361.560,2112
2026-08-13T17:40:00.000Z,4361.540,4362.190,4355.670,4357.250,2255
2026-08-13T17:45:00.000Z,4357.270,4359.870,4357.260,4359.330,1977
2026-08-13T17:50:00.000Z,4359.360,4360.050,4357.380,4357.880,1929
2026-08-13T17:55:00.000Z,4357.730,4358.240,4355.750,4356.020,1781
2026-08-13T18:00:00.000Z,4356.050,4359.980,4355.930,4358.590,2371
2026-08-13T18:05:00.000Z,4358.580,4360.030,4357.340,4359.530,1932
2026-08-13T18:10:00.000Z,4359.490,4362.740,4358.120,4361.990,1980
2026-08-13T18:15:00.000Z,4361.990,4363.620,4360.840,4363.130,1777
2026-08-13T18:20:00.000Z,4363.130,4363.190,4356.140,4357.250,1915
2026-08-13T18:25:00.000Z,4357.270,4358.200,4354.760,4357.590,2128
2026-08-13T18:30:00.000Z,4357.660,4359.420,4356.410,4358.440,1843
2026-08-13T18:35:00.000Z,4358.470,4359.960,4357.660,4359.530,1684
2026-08-13T18:40:00.000Z,4359.470,4360.330,4357.420,4357.940,1618
2026-08-13T18:45:00.000Z,4357.970,4358.240,4356.570,4357.190,1463
2026-08-13T18:50:00.000Z,4357.270,4357.630,4354.720,4356.810,1790
2026-08-13T18:55:00.000Z,4356.980,4357.800,4356.650,4357.010,1353
2026-08-13T19:00:00.000Z,4357.120,4358.910,4356.130,4358.210,1557
2026-08-13T19:05:00.000Z,4358.210,4358.350,4353.050,4353.620,1695
2026-08-13T19:10:00.000Z,4353.550,4353.740,4346.300,4346.920,2087
2026-08-13T19:15:00.000Z,4346.760,4348.580,4343.710,4347.850,2409
2026-08-13T19:20:00.000Z,4347.860,4349.340,4346.510,4348.880,1807
2026-08-13T19:25:00.000Z,4348.850,4351.830,4348.710,4351.710,2389
2026-08-13T19:30:00.000Z,4351.730,4352.030,4349.790,4350.970,1786
2026-08-13T19:35:00.000Z,4351.010,4354.130,4350.650,4353.230,1409
2026-08-13T19:40:00.000Z,4353.220,4353.300,4350.790,4351.410,1701
2026-08-13T19:45:00.000Z,4351.490,4351.490,4347.660,4349.280,1711
2026-08-13T19:50:00.000Z,4349.100,4350.840,4348.750,4350.370,1702
2026-08-13T19:55:00.000Z,4350.430,4350.590,4348.180,4350.180,2229
2026-08-13T20:00:00.000Z,4350.130,4350.550,4346.920,4348.060,1589
2026-08-13T20:05:00.000Z,4348.080,4350.140,4347.960,4350.000,882
2026-08-13T20:10:00.000Z,4349.880,4350.550,4349.350,4350.390,798
2026-08-13T20:15:00.000Z,4350.400,4351.370,4350.030,4350.390,855
2026-08-13T20:20:00.000Z,4350.400,4350.500,4349.490,4349.690,671
2026-08-13T20:25:00.000Z,4349.710,4352.260,4349.460,4351.760,865
2026-08-13T20:30:00.000Z,4351.700,4351.860,4348.090,4349.150,959
2026-08-13T20:35:00.000Z,4349.180,4349.990,4348.550,4349.480,685
2026-08-13T20:40:00.000Z,4349.410,4350.560,4348.390,4349.520,621
2026-08-13T20:45:00.000Z,4349.410,4350.230,4349.340,4349.870,451
2026-08-13T20:50:00.000Z,4349.980,4350.770,4348.730,4348.920,571
2026-08-13T20:55:00.000Z,4349.010,4351.120,4348.670,4351.100,477
2026-08-13T22:00:00.000Z,4350.910,4354.520,4350.910,4353.210,958
2026-08-13T22:05:00.000Z,4353.170,4356.990,4353.040,4356.940,951
2026-08-13T22:10:00.000Z,4357.010,4357.020,4353.960,4354.230,720
2026-08-13T22:15:00.000Z,4354.230,4354.620,4352.920,4353.380,648
2026-08-13T22:20:00.000Z,4353.400,4356.550,4353.340,4356.540,1136
2026-08-13T22:25:00.000Z,4356.500,4357.890,4356.140,4357.170,822
2026-08-13T22:30:00.000Z,4357.160,4357.910,4355.790,4357.350,1091
2026-08-13T22:35:00.000Z,4357.360,4362.500,4357.360,4361.820,1329
